City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Bethel,US,2021-06-06 03:08:32,41.3712,-73.414,80.49,64,1,5.75
115,Tonj,SS,2021-06-06 03:08:32,7.2737,28.6822,68.67,93,79,2.37
116,Necochea,AR,2021-06-06 03:08:32,-38.5473,-58.7368,46.33,76,0,10.51
117,Moron,AR,2021-06-06 03:08:32,-34.6534,-58.6198,53.35,62,0,1.99
118,Airai,TL,2021-06-06 03:08:33,-8.9266,125.4092,72.12,58,56,3.47
119,Apsheronsk,RU,2021-06-06 03:08:33,44.46,39.73,52.07,83,30,3.53
120,Torbay,CA,2021-06-06 03:08:33,47.6666,-52.7314,53.76,97,100,9.69
121,Pekan,MY,2021-06-06 03:08:34,3.4836,103.3996,87.15,61,79,7.72
122,Tuktoyaktuk,CA,2021-06-06 03:08:34,69.4541,-133.0374,34.45,80,20,11.12
123,Lukang,TW,2021-06-06 03:08:34,24.0567,120.4352,81.01,86,100,10.63
124,Okhotsk,RU,2021-06-06 03:08:35,59.3833,143.3,46.49,76,99,6.13
125,Port Hedland,AU,2021-06-06 03:08:35,-20.3167,118.5667,82.45,26,85,19.57
126,Acapulco,MX,2021-06-06 03:04:46,16.8634,-99.8901,82.72,76,89,4.74
127,Shingu,JP,2021-06-06 03:08:35,33.7333,135.9833,68.13,89,100,3.62
128,Ostrovnoy,RU,2021-06-06 03:08:36,68.0531,39.5131,40.51,73,89,12.68
129,Lillesand,NO,2021-06-06 03:08:36,58.2488,8.3778,57.88,94,90,3.11
130,Victoria,HK,2021-06-06 03:08:36,22.2855,114.1577,87.96,73,42,7.0
131,Hithadhoo,MV,2021-06-06 03:08:37,-0.6,73.0833,83.1,73,99,13.4
132,Shenjiamen,CN,2021-06-06 03:08:37,29.9576,122.298,72.39,72,45,11.48
133,Wanning,CN,2021-06-06 03:08:37,18.8003,110.3967,86.23,69,62,4.38
134,Tawang,IN,2021-06-06 03:08:38,27.5833,91.8667,61.14,78,71,4.85
135,Totma,RU,2021-06-06 03:08:38,59.9747,42.7642,61.86,61,9,2.35
136,Atakpame,TG,2021-06-06 03:08:38,7.5333,1.1333,70.3,96,72,3.2
137,Lyuban,BY,2021-06-06 03:08:39,52.7985,28.0048,54.36,82,97,6.35
138,Pinillos,CO,2021-06-06 03:08:39,8.9193,-74.4677,76.68,97,98,2.73
139,Cherskiy,RU,2021-06-06 03:06:40,68.75,161.3,70.81,27,36,22.97
140,Antofagasta,CL,2021-06-06 03:08:39,-23.65,-70.4,58.28,82,43,3.42
141,Kargopol,RU,2021-06-06 03:08:40,61.5071,38.9456,61.95,63,8,2.71
142,Nome,US,2021-06-06 03:08:40,64.5011,-165.4064,35.67,93,90,14.97
143,Nikolskoye,RU,2021-06-06 03:08:40,59.7035,30.7861,55.4,69,100,3.0
144,Igarka,RU,2021-06-06 03:08:41,67.4667,86.5833,33.85,84,100,14.52
145,Calvinia,ZA,2021-06-06 03:08:41,-31.4707,19.776,46.96,33,0,10.58
146,Thompson,CA,2021-06-06 03:04:22,55.7435,-97.8558,53.76,94,90,11.5
147,Bengkulu,ID,2021-06-06 03:07:24,-3.8004,102.2655,81.91,75,14,1.16
148,Georgetown,MY,2021-06-06 03:07:34,5.4112,100.3354,85.95,77,20,4.18
149,Lompoc,US,2021-06-06 03:04:53,34.6391,-120.4579,64.38,82,90,10.36
150,Jian,CN,2021-06-06 03:08:42,27.1172,114.9793,82.6,58,0,1.34
151,Tual,ID,2021-06-06 03:08:42,-5.6667,132.75,81.21,78,18,18.77
152,Ouango,CF,2021-06-06 03:08:42,4.3133,22.5552,69.22,99,100,1.52
153,Bad Munstereifel,DE,2021-06-06 03:08:43,50.55,6.7667,56.91,90,100,5.44
154,Pisco,PE,2021-06-06 03:08:24,-13.7,-76.2167,64.45,82,90,3.44
155,Shimoda,JP,2021-06-06 03:08:43,34.6667,138.95,71.17,97,100,8.52
156,Itoman,JP,2021-06-06 03:08:43,26.1247,127.6694,89.98,79,75,17.27
157,Kichmengskiy Gorodok,RU,2021-06-06 03:08:44,59.9816,45.7854,62.58,61,8,3.76
158,Qaqortoq,GL,2021-06-06 03:08:44,60.7167,-46.0333,46.9,87,100,5.95
159,Castro,BR,2021-06-06 03:08:44,-24.7911,-50.0119,57.76,78,53,2.86
160,Tigil,RU,2021-06-06 03:08:45,57.8,158.6667,52.88,84,100,5.97
161,Kloulklubed,PW,2021-06-06 03:08:45,7.0419,134.2556,82.62,77,81,8.28
162,Jiangyou,CN,2021-06-06 03:08:45,31.7667,104.7167,83.95,41,100,3.94
163,Norman Wells,CA,2021-06-06 03:08:46,65.282,-126.8329,36.54,98,100,7.78
164,Banyo,CM,2021-06-06 03:08:46,6.75,11.8167,62.82,93,81,2.06
165,Korla,CN,2021-06-06 03:08:46,41.7597,86.1469,79.03,30,96,15.03
166,North Bend,US,2021-06-06 03:08:47,43.4065,-124.2243,59.23,76,1,12.66
167,Plettenberg Bay,ZA,2021-06-06 03:08:47,-34.0527,23.3716,58.84,28,0,7.43
168,Imbituba,BR,2021-06-06 03:08:47,-28.24,-48.6703,69.69,76,48,7.61
169,Bambous Virieux,MU,2021-06-06 03:08:48,-20.3428,57.7575,70.21,81,27,2.93
170,Marshall,US,2021-06-06 03:06:48,34.3834,-86.3333,74.52,88,1,2.53
171,Tucuman,AR,2021-06-06 03:08:41,-26.8241,-65.2226,61.72,78,100,4.09
172,Fuxin,CN,2021-06-06 03:08:49,42.0156,121.6589,75.88,36,6,5.46
173,Simao,CN,2021-06-06 03:08:49,22.7886,100.9748,73.18,86,66,2.55
174,Mar Del Plata,AR,2021-06-06 03:05:40,-38.0023,-57.5575,48.13,57,0,5.99
175,Klaksvik,FO,2021-06-06 03:08:50,62.2266,-6.589,49.12,96,92,10.8
176,Hastings,GB,2021-06-06 03:08:50,50.8552,0.5729,56.71,84,13,4.52
177,Juneau,US,2021-06-06 03:05:53,58.3019,-134.4197,53.22,91,90,1.01
178,Zafra,ES,2021-06-06 03:08:51,38.4167,-6.4167,62.33,57,0,1.77
179,Kovdor,RU,2021-06-06 03:08:51,67.5662,30.4758,48.76,58,13,4.74
180,Dwarka,IN,2021-06-06 03:08:51,22.2394,68.9678,86.2,64,1,9.35
181,Constitucion,CL,2021-06-06 03:08:52,-35.3333,-72.4167,49.91,63,100,5.41
182,Aden,YE,2021-06-06 03:08:52,12.7794,45.0367,88.48,65,9,5.73
183,Iqaluit,CA,2021-06-06 03:04:19,63.7506,-68.5145,29.93,100,90,5.99
184,Goundam,ML,2021-06-06 03:08:52,16.4145,-3.6708,92.03,20,0,7.52
185,Dudinka,RU,2021-06-06 03:08:53,69.4058,86.1778,33.01,91,100,9.19
186,San Francisco,US,2021-06-06 03:05:04,37.7749,-122.4194,75.07,74,40,1.99
187,Fengzhen,CN,2021-06-06 03:08:53,40.4394,113.1536,76.62,17,97,9.91
188,Isangel,VU,2021-06-06 03:08:53,-19.55,169.2667,76.46,77,100,13.85
189,Sitka,US,2021-06-06 03:08:54,57.0531,-135.33,55.29,62,75,11.5
190,Grao Mogol,BR,2021-06-06 03:08:54,-16.5594,-42.8897,64.83,79,100,3.83
191,Aklavik,CA,2021-06-06 03:08:54,68.2191,-135.0107,41.14,75,97,8.48
192,Roald,NO,2021-06-06 03:08:15,62.5833,6.1333,61.16,94,90,3.44
193,Jaciara,BR,2021-06-06 03:08:55,-15.9653,-54.9683,70.43,57,100,2.55
194,San-Pedro,CI,2021-06-06 03:08:55,4.7485,-6.6363,76.98,92,82,4.72
195,Billings,US,2021-06-06 03:05:26,45.7833,-108.5007,73.92,50,75,19.57
196,Urumqi,CN,2021-06-06 03:08:55,43.801,87.6005,54.55,67,0,9.42
197,Kolvereid,NO,2021-06-06 03:08:56,64.8655,11.6047,52.63,80,50,0.74
198,Chumikan,RU,2021-06-06 03:08:56,54.7183,135.315,38.3,95,100,4.29
199,Deputatskiy,RU,2021-06-06 03:08:56,69.3,139.9,38.64,63,94,11.86
200,Salalah,OM,2021-06-06 03:08:57,17.0151,54.0924,86.09,70,75,2.3
201,Iquitos,PE,2021-06-06 03:04:22,-3.7481,-73.2472,73.04,98,97,0.85
202,Crossgates,GB,2021-06-06 03:08:57,56.0667,-3.3833,53.82,85,0,4.0
203,Cockburn Town,TC,2021-06-06 03:08:58,21.4612,-71.1419,80.04,83,0,22.88
204,San Quintin,MX,2021-06-06 03:08:58,30.4833,-115.95,66.43,82,2,7.54
205,Shahr-E Babak,IR,2021-06-06 03:08:58,30.1165,55.1186,81.27,10,0,2.68
206,Surt,LY,2021-06-06 03:08:58,31.2089,16.5887,68.36,71,6,9.93
207,Guerrero Negro,MX,2021-06-06 03:08:59,27.9769,-114.0611,63.55,82,99,14.85
208,Koslan,RU,2021-06-06 03:08:59,63.4564,48.8989,61.74,61,29,7.58
209,Bilibino,RU,2021-06-06 03:08:59,68.0546,166.4372,71.78,26,59,10.02
210,Kaitangata,NZ,2021-06-06 03:06:36,-46.2817,169.8464,53.92,60,80,3.96
211,Beregovoy,RU,2021-06-06 03:09:00,55.173,73.2198,68.05,57,14,10.58
212,Cantaura,VE,2021-06-06 03:09:00,9.3057,-64.3584,73.83,85,99,11.21
213,Bubaque,GW,2021-06-06 03:09:01,11.2833,-15.8333,79.32,85,100,15.41
214,Bokoro,TD,2021-06-06 03:09:01,12.3807,17.0568,84.31,52,100,12.28
215,Leningradskiy,RU,2021-06-06 03:09:01,69.3833,178.4167,37.85,91,100,13.02
216,Mahebourg,MU,2021-06-06 03:09:02,-20.4081,57.7,70.25,81,18,2.82
217,Jumla,NP,2021-06-06 03:09:02,29.2747,82.1838,67.95,57,64,2.55
218,Langfang,CN,2021-06-06 03:09:02,39.5097,116.6947,94.14,16,55,8.77
219,Stokmarknes,NO,2021-06-06 03:09:03,68.5646,14.9108,50.38,73,29,5.79
220,Dolinsk,RU,2021-06-06 03:09:03,47.35,142.8,62.46,64,73,3.47
221,Patharia,IN,2021-06-06 03:09:03,23.9,79.2,89.83,43,39,13.11
222,Narsaq,GL,2021-06-06 03:06:47,60.9167,-46.05,46.62,83,100,6.38
223,Kirakira,SB,2021-06-06 03:09:04,-10.4544,161.9205,85.15,69,90,6.71
224,Sinnamary,GF,2021-06-06 03:09:04,5.3833,-52.95,77.97,89,93,7.94
225,Basco,PH,2021-06-06 03:09:04,20.4487,121.9702,84.33,74,97,12.77
226,Nanortalik,GL,2021-06-06 03:09:05,60.1432,-45.2371,41.04,81,100,4.61
227,Duluth,US,2021-06-06 03:09:05,46.7833,-92.1066,66.78,84,1,1.01
228,Teguldet,RU,2021-06-06 03:09:05,57.3064,88.1667,54.79,82,88,6.89
229,Cantagalo,BR,2021-06-06 03:09:06,-21.9811,-42.3681,61.47,92,0,2.91
230,Kawambwa,ZM,2021-06-06 03:09:06,-9.7915,29.0791,58.42,74,96,7.65
231,Littleton,US,2021-06-06 03:05:33,39.6133,-105.0166,78.53,49,75,5.99
232,Caceres,ES,2021-06-06 03:09:06,39.522,-6.3748,60.8,79,0,3.74
233,Ladnun,IN,2021-06-06 03:09:07,27.65,74.3833,91.78,38,8,9.69
234,Omboue,GA,2021-06-06 03:09:07,-1.5746,9.2618,76.28,92,100,3.6
235,Chapais,CA,2021-06-06 03:09:07,49.7834,-74.8492,46.72,81,80,2.46
236,Padang,ID,2021-06-06 03:09:07,-0.9492,100.3543,84.33,60,81,2.39
237,Lasem,ID,2021-06-06 03:09:08,-6.6922,111.4527,86.54,61,5,5.1
238,Iranshahr,IR,2021-06-06 03:07:16,27.2025,60.6848,95.34,41,0,0.0
239,Batemans Bay,AU,2021-06-06 03:09:08,-35.7167,150.1833,65.19,42,2,5.3
240,Port Lincoln,AU,2021-06-06 03:09:08,-34.7333,135.8667,65.41,58,48,17.49
241,Rocha,UY,2021-06-06 03:09:09,-34.4833,-54.3333,48.04,91,85,6.31
242,Souillac,MU,2021-06-06 03:09:09,-20.5167,57.5167,70.36,82,11,1.9
243,Zhoucheng,CN,2021-06-06 03:05:16,35.9122,116.3117,97.66,22,6,12.77
244,Meulaboh,ID,2021-06-06 03:07:55,4.1363,96.1285,81.82,69,97,3.24
245,Limbang,MY,2021-06-06 03:09:10,4.75,115.0,82.51,66,100,5.19
246,Nabire,ID,2021-06-06 03:09:10,-3.3667,135.4833,87.22,64,60,4.43
247,Babu,CN,2021-06-06 03:05:16,24.4167,111.5167,83.97,54,0,1.9
248,Ilulissat,GL,2021-06-06 03:09:10,69.2167,-51.1,39.22,81,17,11.5
249,Mareeba,AU,2021-06-06 03:09:11,-17.0,145.4333,74.48,62,13,7.0
250,Chokurdakh,RU,2021-06-06 03:09:11,70.6333,147.9167,37.06,80,100,18.5
251,Gallarate,IT,2021-06-06 03:09:12,45.664,8.7903,63.34,87,0,1.01
252,Mnogovershinnyy,RU,2021-06-06 03:09:12,53.9353,139.9242,36.18,95,100,8.48
253,Carupano,VE,2021-06-06 03:09:12,10.6678,-63.2585,74.14,95,100,10.38
254,Mbandaka,CD,2021-06-06 03:09:13,0.0487,18.2603,70.14,99,100,3.4
255,Marzuq,YE,2021-06-06 03:09:13,14.4,46.4667,76.41,21,11,4.85
256,Upernavik,GL,2021-06-06 03:07:05,72.7868,-56.1549,34.39,85,4,3.65
257,Honiara,SB,2021-06-06 03:07:38,-9.4333,159.95,84.13,75,91,4.03
258,Jojoima,SL,2021-06-06 03:09:14,7.8792,-10.7878,71.85,99,94,0.38
259,Marsh Harbour,BS,2021-06-06 03:05:28,26.5412,-77.0636,78.57,83,44,17.22
260,Dickinson,US,2021-06-06 03:04:24,29.4608,-95.0513,79.95,83,1,3.0
261,Luanda,AO,2021-06-06 03:06:49,-8.8368,13.2343,77.0,83,75,2.3
262,Talnakh,RU,2021-06-06 03:09:14,69.4865,88.3972,32.09,97,100,5.46
263,Zolotukhino,RU,2021-06-06 03:09:15,52.0842,36.3772,57.27,98,98,7.67
264,San Jose,US,2021-06-06 03:06:07,37.3394,-121.895,74.46,57,75,1.99
265,Pevek,RU,2021-06-06 03:09:15,69.7008,170.3133,47.46,66,77,8.5
266,Jurm,AF,2021-06-06 03:09:15,36.8648,70.8342,78.44,29,4,0.38
267,Luderitz,NA,2021-06-06 03:09:16,-26.6481,15.1594,70.48,30,0,28.74
268,Mount Gambier,AU,2021-06-06 03:09:16,-37.8333,140.7667,60.98,77,100,11.7
269,Buta,CD,2021-06-06 03:09:16,2.7858,24.73,69.03,99,100,3.62
270,Karang Tengah,ID,2021-06-06 03:09:17,-7.5787,111.8642,87.28,63,6,1.5
271,Kostino,RU,2021-06-06 03:09:17,58.9097,53.2691,61.12,62,8,3.83
272,Plastun,RU,2021-06-06 03:09:17,44.7561,136.2939,64.72,66,90,1.43
273,Omsukchan,RU,2021-06-06 03:09:18,62.5333,155.8,45.79,74,79,13.94
274,Hobyo,SO,2021-06-06 03:07:06,5.3505,48.5268,77.56,85,54,20.42
275,Presidencia Roque Saenz Pena,AR,2021-06-06 03:09:18,-26.7852,-60.4388,68.7,87,100,8.95
276,Benghazi,LY,2021-06-06 03:09:19,32.1167,20.0667,69.12,66,0,9.66
277,Kibala,TD,2021-06-06 03:09:19,9.1104,18.3463,74.1,82,100,3.42
278,Mbanza-Ngungu,CD,2021-06-06 03:09:19,-5.25,14.8667,65.79,97,93,3.51
279,Touros,BR,2021-06-06 03:09:20,-5.1989,-35.4608,74.3,87,45,11.07
280,Mayumba,GA,2021-06-06 03:09:20,-3.432,10.6554,75.61,91,80,4.59
281,Haimen,CN,2021-06-06 03:09:20,23.1935,116.6142,78.69,83,50,15.43
282,Verkhoyansk,RU,2021-06-06 03:09:21,67.5447,133.385,53.47,40,100,8.52
