City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
609,Banda Aceh,ID,81.45,overcast clouds,5.5577,95.3222,Sulthan Hotel International
610,Tariba,VE,75.76,overcast clouds,7.8188,-72.2243,Hotel Las Lomas
612,Churhat,IN,75.56,overcast clouds,24.428,81.6703,Roshan Lal Namdeo S/o Motilal Namdeo. Prince Namdeo & Raja Namdeo
617,Silver City,US,76.96,clear sky,32.7701,-108.2803,Copper Manor Motel
620,Madang,PG,84.6,few clouds,-5.2246,145.7966,Comfort Inn Hotel
621,Sao Felix Do Xingu,BR,76.89,broken clouds,-6.6447,-51.995,Rio Xingu Camping
625,Hobyo,SO,76.46,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
626,Tateyama,JP,87.82,moderate rain,34.9833,139.8667,Tateyama Seaside Hotel
632,Nicoya,CR,78.35,overcast clouds,10.1483,-85.452,Guayacan Real
636,Meulaboh,ID,78.42,overcast clouds,4.1363,96.1285,Kost Pria
638,Sheridan,US,86.18,clear sky,44.8333,-106.9173,Comfort Inn & Suites
645,Kununurra,AU,89.58,clear sky,-15.7667,128.7333,Hotel Kununurra
646,Muisne,EC,75.99,overcast clouds,0.6,-80.0333,Quinta Samay
648,Mareeba,AU,80.44,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
651,Fuyang,CN,85.96,light rain,32.9,115.8167,Fuyang Wanda Realm Hotel
658,Morgan City,US,84.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
659,Zhuhai,CN,88.72,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
662,Ternate,ID,83.66,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
664,Marawi,PH,81.91,broken clouds,7.9986,124.2928,Derogongan Residence
665,Ocos,GT,84.99,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
671,Davila,PH,82.2,moderate rain,18.4726,120.5763,Blue Ridge Beach Resort
676,Chardara,KZ,76.28,clear sky,41.2547,67.9692,Жанаргул
679,Praya,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
681,Lebanon,US,75.96,scattered clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
686,Zhicheng,CN,88.88,light rain,30.2956,111.5047,Wangjiang Building
688,Shenjiamen,CN,80.82,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
694,Progreso,MX,80.71,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
696,Allende,MX,89.58,clear sky,25.2833,-100.0167,Ecovergel Hotel Boutique
702,Cayenne,GF,80.1,light rain,4.9333,-52.3333,Hôtel Le Dronmi
703,Catuday,PH,81.97,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
704,Kyrylivka,UA,77.49,clear sky,46.3759,35.3675,"Rok-Hotelʹ ""Kleopatra"""
705,Pandan,PH,87.22,overcast clouds,14.0453,124.1694,Bonifacio Lodge
706,Yingkou,CN,77.92,light rain,40.6648,122.2283,Yingkou Juyin Junyue Hotel
711,Chumphon,TH,83.39,overcast clouds,10.3333,98.8333,สกาน จ๋า.
713,Dawei,MM,80.67,heavy intensity rain,14.0833,98.2,Hotel Dawei
717,Gidam,IN,75.27,overcast clouds,18.9833,81.4,Dhanshree Lodge And DormItory
