City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Sur,OM,22.5667,59.5289,89.58,57,82,5.01,broken clouds
130,Kyshtovka,RU,56.555,76.6271,62.28,96,93,7.0,light rain
131,Feicheng,CN,35.2606,117.9675,79.79,76,82,6.24,light rain
132,Bredasdorp,ZA,-34.5322,20.0403,56.28,94,100,1.14,overcast clouds
133,Coahuayana,MX,18.7333,-103.6833,80.76,84,47,2.71,scattered clouds
134,Lompoc,US,34.6391,-120.4579,83.57,69,2,10.0,clear sky
135,Sharlyk,RU,52.9167,54.75,71.56,54,46,2.59,scattered clouds
136,Castro,BR,-24.7911,-50.0119,45.18,94,13,3.06,few clouds
137,Aykhal,RU,66.0,111.5,75.79,33,35,12.71,scattered clouds
138,Fairbanks,US,64.8378,-147.7164,79.14,56,75,0.0,broken clouds
139,Udachnyy,RU,66.4167,112.4,78.33,30,25,11.43,scattered clouds
140,Saint-Philippe,RE,-21.3585,55.7679,65.79,73,43,7.18,scattered clouds
141,Jerantut,MY,3.936,102.3626,78.24,89,89,0.92,overcast clouds
142,Saint George,US,37.1041,-113.5841,95.63,27,18,1.99,few clouds
143,Tadine,NC,-21.55,167.8833,71.2,55,40,14.74,scattered clouds
144,Harstad,NO,68.799,16.5293,45.79,99,100,14.0,light rain
145,Tagusao,PH,9.1924,117.8141,86.47,69,21,16.22,few clouds
146,San Jeronimo,PE,-11.9472,-75.2829,46.42,76,58,3.96,broken clouds
147,Mahebourg,MU,-20.4081,57.7,68.29,83,75,11.5,broken clouds
148,Atar,MR,20.5169,-13.0499,85.87,49,64,9.31,broken clouds
149,Aquidauana,BR,-20.4711,-55.7872,66.33,45,98,3.78,overcast clouds
150,Pangoa,PE,-12.1167,-73.0,66.54,70,40,2.55,scattered clouds
151,Bambous Virieux,MU,-20.3428,57.7575,68.25,83,75,11.5,broken clouds
152,Barcelos,PT,41.5388,-8.6151,65.91,94,100,3.29,overcast clouds
153,Arraial Do Cabo,BR,-22.9661,-42.0278,66.33,74,27,13.11,scattered clouds
154,Jardim,BR,-21.4803,-56.1381,61.23,62,100,2.17,overcast clouds
155,Bonthe,SL,7.5264,-12.505,75.76,87,81,9.33,light rain
156,Flinders,AU,-34.5833,150.8552,66.2,80,7,4.0,clear sky
157,Novoagansk,RU,61.9449,76.6625,57.52,72,100,6.91,overcast clouds
158,Pedernales,DO,18.0384,-71.744,81.9,72,93,8.23,overcast clouds
159,Puerto Del Rosario,ES,28.5004,-13.8627,69.55,78,24,14.97,few clouds
160,Palm Beach,US,26.6503,-80.4498,84.97,95,100,5.64,overcast clouds
161,Kismayo,SO,-0.3582,42.5454,74.43,86,99,18.03,light rain
162,Bani Walid,LY,31.7566,13.9942,78.13,31,0,1.07,clear sky
163,Laguna,US,38.421,-121.4238,100.24,31,1,5.99,clear sky
164,New Norfolk,AU,-42.7826,147.0587,53.92,52,72,3.94,broken clouds
165,Srandakan,ID,-7.9386,110.2506,81.19,71,52,12.48,broken clouds
166,Bonavista,CA,48.6499,-53.1147,61.12,80,0,19.71,clear sky
167,Faanui,PF,-16.4833,-151.75,78.1,69,23,15.46,few clouds
168,Isangel,VU,-19.55,169.2667,77.11,57,75,9.22,broken clouds
169,Mutsu,JP,41.2894,141.2169,82.0,64,0,2.64,clear sky
170,Baoding,CN,38.8511,115.4903,79.52,64,58,4.7,broken clouds
